device;ano-mes;sensor;valor_maximo;valor_medio;valor_minimo
sirrosteste_UCS_AMV-11;2025-03;temperatura;22.90;17.78;16.80
sirrosteste_UCS_AMV-11;2025-03;umidade;99.90;79.67;75.50
sirrosteste_UCS_AMV-11;2025-03;luminosidade;7924.60;955.92;0.00
sirrosteste_UCS_AMV-11;2025-03;ruido;120.00;72.49;44.10
sirrosteste_UCS_AMV-11;2025-03;eco2;20.00;20.00;20.00
sirrosteste_UCS_AMV-11;2025-03;etvoc;403.00;403.00;403.00
sirrosteste_UCS_AMV-11;2025-02;temperatura;17.80;17.80;17.30
sirrosteste_UCS_AMV-11;2025-02;umidade;76.00;76.00;75.50
sirrosteste_UCS_AMV-11;2025-02;luminosidade;9163.80;1157.17;0.00
sirrosteste_UCS_AMV-11;2025-02;ruido;120.00;72.53;45.50
sirrosteste_UCS_AMV-11;2025-02;eco2;20.00;20.00;20.00
sirrosteste_UCS_AMV-11;2025-02;etvoc;403.00;403.00;403.00
sirrosteste_UCS_AMV-11;2025-01;temperatura;17.80;17.80;17.30
sirrosteste_UCS_AMV-11;2025-01;umidade;76.00;76.00;75.50
sirrosteste_UCS_AMV-11;2025-01;luminosidade;12877.00;1566.43;0.00
sirrosteste_UCS_AMV-11;2025-01;ruido;120.00;72.22;43.80
sirrosteste_UCS_AMV-11;2025-01;eco2;20.00;20.00;20.00
sirrosteste_UCS_AMV-11;2025-01;etvoc;403.00;403.00;403.00
sirrosteste_UCS_AMV-11;2024-12;temperatura;17.80;17.80;17.30
sirrosteste_UCS_AMV-11;2024-12;umidade;76.00;76.00;75.50
sirrosteste_UCS_AMV-11;2024-12;luminosidade;11330.20;1592.80;0.00
sirrosteste_UCS_AMV-11;2024-12;ruido;120.00;73.11;49.80
sirrosteste_UCS_AMV-11;2024-12;eco2;20.00;20.00;20.00
sirrosteste_UCS_AMV-11;2024-12;etvoc;403.00;403.00;403.00
sirrosteste_UCS_AMV-11;2024-11;temperatura;17.80;17.80;17.30
sirrosteste_UCS_AMV-11;2024-11;umidade;76.00;76.00;75.50
sirrosteste_UCS_AMV-11;2024-11;luminosidade;11380.00;1582.94;0.00
sirrosteste_UCS_AMV-11;2024-11;ruido;120.00;73.38;46.10
sirrosteste_UCS_AMV-11;2024-11;eco2;20.00;20.00;20.00
sirrosteste_UCS_AMV-11;2024-11;etvoc;403.00;403.00;403.00
sirrosteste_UCS_AMV-11;2024-10;temperatura;17.80;17.80;17.30
sirrosteste_UCS_AMV-11;2024-10;umidade;76.00;76.00;75.50
sirrosteste_UCS_AMV-11;2024-10;luminosidade;8087.80;1051.55;0.00
sirrosteste_UCS_AMV-11;2024-10;ruido;120.00;73.71;51.40
sirrosteste_UCS_AMV-11;2024-10;eco2;20.00;20.00;20.00
sirrosteste_UCS_AMV-11;2024-10;etvoc;403.00;403.00;403.00
sirrosteste_UCS_AMV-11;2024-09;temperatura;22.50;15.15;8.40
sirrosteste_UCS_AMV-11;2024-09;umidade;99.90;71.29;56.60
sirrosteste_UCS_AMV-11;2024-09;luminosidade;6716.10;953.81;0.00
sirrosteste_UCS_AMV-11;2024-09;ruido;120.00;73.11;48.90
sirrosteste_UCS_AMV-11;2024-09;eco2;20.00;20.00;20.00
sirrosteste_UCS_AMV-11;2024-09;etvoc;403.00;403.00;403.00
sirrosteste_UCS_AMV-11;2024-08;temperatura;35.00;15.31;2.20
sirrosteste_UCS_AMV-11;2024-08;umidade;98.20;88.69;29.90
sirrosteste_UCS_AMV-11;2024-08;luminosidade;8054.20;754.98;0.00
sirrosteste_UCS_AMV-11;2024-08;ruido;113.40;72.79;46.20
sirrosteste_UCS_AMV-11;2024-08;eco2;20.00;20.00;20.00
sirrosteste_UCS_AMV-11;2024-08;etvoc;403.00;403.00;403.00
sirrosteste_UCS_AMV-11;2024-07;temperatura;16.60;16.60;16.60
sirrosteste_UCS_AMV-11;2024-07;umidade;98.20;98.20;96.10
sirrosteste_UCS_AMV-11;2024-07;luminosidade;5926.70;590.71;0.00
sirrosteste_UCS_AMV-11;2024-07;ruido;120.00;72.79;46.90
sirrosteste_UCS_AMV-11;2024-07;eco2;20.00;20.00;20.00
sirrosteste_UCS_AMV-11;2024-07;etvoc;403.00;403.00;403.00
sirrosteste_UCS_AMV-11;2024-06;temperatura;16.60;16.60;16.10
sirrosteste_UCS_AMV-11;2024-06;umidade;98.20;98.20;96.10
sirrosteste_UCS_AMV-11;2024-06;luminosidade;4689.40;523.09;0.00
sirrosteste_UCS_AMV-11;2024-06;ruido;114.60;72.78;49.60
