device;ano-mes;sensor;valor_maximo;valor_medio;valor_minimo
sirrosteste_UCS_AMV-05;2025-03;temperatura;40.40;25.11;14.00
sirrosteste_UCS_AMV-05;2025-03;umidade;94.30;65.51;32.20
sirrosteste_UCS_AMV-05;2025-03;luminosidade;5383.20;869.42;0.00
sirrosteste_UCS_AMV-05;2025-03;ruido;102.00;70.51;43.20
sirrosteste_UCS_AMV-05;2025-03;eco2;20.00;20.00;20.00
sirrosteste_UCS_AMV-05;2025-03;etvoc;403.00;403.00;403.00
sirrosteste_UCS_AMV-05;2025-02;temperatura;41.20;27.50;17.90
sirrosteste_UCS_AMV-05;2025-02;umidade;95.00;64.22;28.60
sirrosteste_UCS_AMV-05;2025-02;luminosidade;9466.60;1057.76;0.00
sirrosteste_UCS_AMV-05;2025-02;ruido;109.30;70.34;42.80
sirrosteste_UCS_AMV-05;2025-02;eco2;20.00;20.00;20.00
sirrosteste_UCS_AMV-05;2025-02;etvoc;403.00;403.00;403.00
sirrosteste_UCS_AMV-05;2025-01;temperatura;40.80;24.80;14.10
sirrosteste_UCS_AMV-05;2025-01;umidade;95.60;65.46;26.50
sirrosteste_UCS_AMV-05;2025-01;luminosidade;8359.10;840.73;0.00
sirrosteste_UCS_AMV-05;2025-01;ruido;109.00;72.05;43.90
sirrosteste_UCS_AMV-05;2025-01;eco2;20.00;20.00;20.00
sirrosteste_UCS_AMV-05;2025-01;etvoc;403.00;403.00;403.00
sirrosteste_UCS_AMV-05;2024-12;temperatura;39.10;21.87;11.70
sirrosteste_UCS_AMV-05;2024-12;umidade;96.10;69.68;28.80
sirrosteste_UCS_AMV-05;2024-12;luminosidade;6086.10;726.12;0.00
sirrosteste_UCS_AMV-05;2024-12;ruido;120.00;73.68;49.40
sirrosteste_UCS_AMV-05;2024-12;eco2;20.00;20.00;20.00
sirrosteste_UCS_AMV-05;2024-12;etvoc;403.00;403.00;403.00
sirrosteste_UCS_AMV-05;2024-11;temperatura;40.50;22.67;10.00
sirrosteste_UCS_AMV-05;2024-11;umidade;95.80;66.91;26.40
sirrosteste_UCS_AMV-05;2024-11;luminosidade;14820.90;803.17;0.00
sirrosteste_UCS_AMV-05;2024-11;ruido;109.60;73.91;50.70
sirrosteste_UCS_AMV-05;2024-11;eco2;20.00;20.00;20.00
sirrosteste_UCS_AMV-05;2024-11;etvoc;403.00;403.00;403.00
sirrosteste_UCS_AMV-05;2024-10;temperatura;38.80;20.25;7.80
sirrosteste_UCS_AMV-05;2024-10;umidade;95.80;69.53;27.50
