device;ano-mes;sensor;valor_maximo;valor_medio;valor_minimo
sirrosteste_UCS_AMV-04;2025-03;temperatura;32.10;23.91;21.10
sirrosteste_UCS_AMV-04;2025-03;umidade;74.40;65.15;32.70
sirrosteste_UCS_AMV-04;2025-03;luminosidade;2196.70;1.77;0.00
sirrosteste_UCS_AMV-04;2025-03;ruido;120.00;77.09;40.60
sirrosteste_UCS_AMV-04;2025-03;eco2;1187.00;178.33;0.00
sirrosteste_UCS_AMV-04;2025-03;etvoc;2219.00;1034.18;400.00
sirrosteste_UCS_AMV-04;2025-02;temperatura;30.00;27.99;25.30
sirrosteste_UCS_AMV-04;2025-02;umidade;61.60;54.47;38.20
sirrosteste_UCS_AMV-04;2025-02;luminosidade;7.90;0.40;0.00
sirrosteste_UCS_AMV-04;2025-02;ruido;100.60;84.83;49.00
sirrosteste_UCS_AMV-04;2025-02;eco2;398.00;67.14;0.00
sirrosteste_UCS_AMV-04;2025-02;etvoc;1756.00;826.06;400.00
sirrosteste_UCS_AMV-04;2025-01;temperatura;30.40;27.10;24.40
sirrosteste_UCS_AMV-04;2025-01;umidade;60.20;53.08;39.90
sirrosteste_UCS_AMV-04;2025-01;luminosidade;7.10;0.32;0.00
sirrosteste_UCS_AMV-04;2025-01;ruido;102.00;85.33;55.40
sirrosteste_UCS_AMV-04;2025-01;eco2;1181.00;70.97;0.00
sirrosteste_UCS_AMV-04;2025-01;etvoc;2217.00;823.60;400.00
sirrosteste_UCS_AMV-04;2024-12;temperatura;27.80;24.98;22.30
sirrosteste_UCS_AMV-04;2024-12;umidade;63.30;55.69;48.20
sirrosteste_UCS_AMV-04;2024-12;luminosidade;17.70;0.42;0.00
sirrosteste_UCS_AMV-04;2024-12;ruido;96.60;85.73;75.60
sirrosteste_UCS_AMV-04;2024-12;eco2;1017.00;51.55;0.00
sirrosteste_UCS_AMV-04;2024-12;etvoc;2144.00;725.96;400.00
sirrosteste_UCS_AMV-04;2024-11;temperatura;28.00;24.37;20.60
sirrosteste_UCS_AMV-04;2024-11;umidade;66.00;55.74;40.30
sirrosteste_UCS_AMV-04;2024-11;luminosidade;9.40;0.21;0.00
sirrosteste_UCS_AMV-04;2024-11;ruido;106.50;84.94;81.20
sirrosteste_UCS_AMV-04;2024-11;eco2;1184.00;72.96;0.00
sirrosteste_UCS_AMV-04;2024-11;etvoc;2218.00;794.63;400.00
sirrosteste_UCS_AMV-04;2024-10;temperatura;28.30;22.67;18.70
sirrosteste_UCS_AMV-04;2024-10;umidade;74.30;56.84;40.50
sirrosteste_UCS_AMV-04;2024-10;luminosidade;1451.40;6.69;0.00
sirrosteste_UCS_AMV-04;2024-10;ruido;109.20;82.91;50.00
sirrosteste_UCS_AMV-04;2024-10;eco2;1195.00;71.67;0.00
sirrosteste_UCS_AMV-04;2024-10;etvoc;2226.00;754.56;400.00
sirrosteste_UCS_AMV-04;2024-09;temperatura;26.60;21.69;18.10
sirrosteste_UCS_AMV-04;2024-09;umidade;73.20;59.48;45.80
sirrosteste_UCS_AMV-04;2024-09;luminosidade;2231.00;12.16;0.00
sirrosteste_UCS_AMV-04;2024-09;ruido;104.10;84.61;54.70
sirrosteste_UCS_AMV-04;2024-09;eco2;299.00;45.27;0.00
sirrosteste_UCS_AMV-04;2024-09;etvoc;1659.00;695.62;404.00
sirrosteste_UCS_AMV-04;2024-06;temperatura;19.50;17.89;16.50
sirrosteste_UCS_AMV-04;2024-06;umidade;80.00;59.88;51.10
sirrosteste_UCS_AMV-04;2024-06;luminosidade;15.20;10.90;0.00
sirrosteste_UCS_AMV-04;2024-06;ruido;99.60;85.46;64.60
sirrosteste_UCS_AMV-04;2024-06;eco2;173.00;16.00;0.00
sirrosteste_UCS_AMV-04;2024-06;etvoc;1470.00;504.27;400.00
sirrosteste_UCS_AMV-04;2024-04;temperatura;30.30;23.32;19.30
sirrosteste_UCS_AMV-04;2024-04;umidade;84.20;69.37;47.60
sirrosteste_UCS_AMV-04;2024-04;luminosidade;9084.40;237.04;-1.00
sirrosteste_UCS_AMV-04;2024-04;ruido;120.00;78.02;38.20
sirrosteste_UCS_AMV-04;2024-04;eco2;1182.00;143.06;0.00
sirrosteste_UCS_AMV-04;2024-04;etvoc;2217.00;906.80;400.00
sirrosteste_UCS_AMV-04;2023-05;temperatura;24.80;23.55;21.50
sirrosteste_UCS_AMV-04;2023-05;umidade;73.50;57.00;48.90
sirrosteste_UCS_AMV-04;2023-05;luminosidade;222.50;18.83;0.00
sirrosteste_UCS_AMV-04;2023-05;ruido;106.80;74.95;53.10
sirrosteste_UCS_AMV-04;2023-05;eco2;619.00;73.92;0.00
sirrosteste_UCS_AMV-04;2023-05;etvoc;1998.00;735.73;400.00
sirrosteste_UCS_AMV-04;2023-04;temperatura;25.10;23.96;22.00
sirrosteste_UCS_AMV-04;2023-04;umidade;62.40;53.83;45.20
sirrosteste_UCS_AMV-04;2023-04;luminosidade;212.50;0.52;0.00
sirrosteste_UCS_AMV-04;2023-04;ruido;115.00;73.53;51.60
sirrosteste_UCS_AMV-04;2023-04;eco2;588.00;81.36;0.00
sirrosteste_UCS_AMV-04;2023-04;etvoc;1964.00;726.80;400.00
sirrosteste_UCS_AMV-04;2023-01;temperatura;25.90;25.90;25.90
sirrosteste_UCS_AMV-04;2023-01;umidade;47.20;47.20;47.20
sirrosteste_UCS_AMV-04;2023-01;luminosidade;1615.00;105.47;0.00
sirrosteste_UCS_AMV-04;2023-01;ruido;114.30;73.36;49.30
sirrosteste_UCS_AMV-04;2023-01;eco2;1187.00;163.74;0.00
sirrosteste_UCS_AMV-04;2023-01;etvoc;5081.00;908.46;401.00
sirrosteste_UCS_AMV-04;2022-12;temperatura;78.50;23.86;18.10
sirrosteste_UCS_AMV-04;2022-12;umidade;85.50;60.26;27.40
sirrosteste_UCS_AMV-04;2022-12;luminosidade;1616.70;102.51;0.00
sirrosteste_UCS_AMV-04;2022-12;ruido;105.30;72.62;52.20
sirrosteste_UCS_AMV-04;2022-12;eco2;1187.00;119.62;0.00
sirrosteste_UCS_AMV-04;2022-12;etvoc;3341.00;901.14;0.00
