device;ano-mes;sensor;valor_maximo;valor_medio;valor_minimo
sirrosteste_UCS_AMV-13;2025-04;temperatura;27.70;21.47;19.10
sirrosteste_UCS_AMV-13;2025-04;umidade;89.00;81.29;61.40
sirrosteste_UCS_AMV-13;2025-04;luminosidade;1585.40;152.40;0.00
sirrosteste_UCS_AMV-13;2025-04;ruido;109.20;78.05;50.60
sirrosteste_UCS_AMV-13;2025-04;eco2;0.00;0.00;0.00
sirrosteste_UCS_AMV-13;2025-04;etvoc;400.00;400.00;400.00
sirrosteste_UCS_AMV-13;2025-03;temperatura;28.20;21.74;14.80
sirrosteste_UCS_AMV-13;2025-03;umidade;88.10;67.94;38.40
sirrosteste_UCS_AMV-13;2025-03;luminosidade;6162.30;330.70;0.00
sirrosteste_UCS_AMV-13;2025-03;ruido;120.00;80.24;47.50
sirrosteste_UCS_AMV-13;2025-03;eco2;69.00;12.04;0.00
sirrosteste_UCS_AMV-13;2025-03;etvoc;862.00;401.98;400.00
sirrosteste_UCS_AMV-13;2024-07;temperatura;24.60;24.52;24.40
sirrosteste_UCS_AMV-13;2024-07;umidade;48.30;48.13;47.90
sirrosteste_UCS_AMV-13;2024-07;luminosidade;838.80;830.52;825.60
sirrosteste_UCS_AMV-13;2024-07;ruido;93.50;86.30;81.30
sirrosteste_UCS_AMV-13;2024-07;eco2;0.00;0.00;0.00
sirrosteste_UCS_AMV-13;2024-07;etvoc;407.00;402.50;400.00
sirrosteste_UCS_AMV-13;2024-06;temperatura;23.60;18.05;12.50
sirrosteste_UCS_AMV-13;2024-06;umidade;74.90;66.40;51.70
sirrosteste_UCS_AMV-13;2024-06;luminosidade;549.90;33.74;0.00
sirrosteste_UCS_AMV-13;2024-06;ruido;108.60;56.82;39.50
sirrosteste_UCS_AMV-13;2024-06;eco2;1165.00;53.94;0.00
sirrosteste_UCS_AMV-13;2024-06;etvoc;2212.00;715.24;400.00
sirrosteste_UCS_AMV-13;2024-05;temperatura;21.80;15.76;11.90
sirrosteste_UCS_AMV-13;2024-05;umidade;82.50;69.66;60.10
sirrosteste_UCS_AMV-13;2024-05;luminosidade;574.30;20.00;0.00
sirrosteste_UCS_AMV-13;2024-05;ruido;109.00;57.51;38.60
sirrosteste_UCS_AMV-13;2024-05;eco2;1184.00;79.50;0.00
sirrosteste_UCS_AMV-13;2024-05;etvoc;2219.00;810.70;400.00
sirrosteste_UCS_AMV-13;2024-04;temperatura;33.20;23.68;18.90
sirrosteste_UCS_AMV-13;2024-04;umidade;77.50;63.24;40.70
sirrosteste_UCS_AMV-13;2024-04;luminosidade;1791.60;86.55;0.00
sirrosteste_UCS_AMV-13;2024-04;ruido;120.00;62.82;38.50
sirrosteste_UCS_AMV-13;2024-04;eco2;6565.00;50.66;0.00
sirrosteste_UCS_AMV-13;2024-04;etvoc;4164.00;663.73;400.00
sirrosteste_UCS_AMV-13;2024-03;temperatura;36.20;26.42;19.30
sirrosteste_UCS_AMV-13;2024-03;umidade;68.30;57.62;29.90
sirrosteste_UCS_AMV-13;2024-03;luminosidade;2202.90;46.52;0.00
sirrosteste_UCS_AMV-13;2024-03;ruido;111.00;62.24;41.20
sirrosteste_UCS_AMV-13;2024-03;eco2;88.00;17.88;0.00
sirrosteste_UCS_AMV-13;2024-03;etvoc;984.00;405.75;400.00
sirrosteste_UCS_AMV-13;2023-11;temperatura;16.60;13.92;8.80
sirrosteste_UCS_AMV-13;2023-11;umidade;93.20;92.45;91.20
sirrosteste_UCS_AMV-13;2023-11;luminosidade;464.40;329.13;198.10
sirrosteste_UCS_AMV-13;2023-11;ruido;66.70;66.33;66.10
sirrosteste_UCS_AMV-13;2023-11;eco2;0.00;0.00;0.00
sirrosteste_UCS_AMV-13;2023-11;etvoc;400.00;400.00;400.00
sirrosteste_UCS_AMV-13;2023-10;temperatura;45.60;21.28;12.40
sirrosteste_UCS_AMV-13;2023-10;umidade;96.30;66.12;25.40
sirrosteste_UCS_AMV-13;2023-10;luminosidade;27306.20;1470.05;0.00
sirrosteste_UCS_AMV-13;2023-10;ruido;120.00;74.95;40.70
sirrosteste_UCS_AMV-13;2023-10;eco2;5284.00;47.53;0.00
sirrosteste_UCS_AMV-13;2023-10;etvoc;4141.00;580.03;400.00
sirrosteste_UCS_AMV-13;2023-05;temperatura;24.90;23.41;22.40
sirrosteste_UCS_AMV-13;2023-05;umidade;80.10;62.97;58.90
sirrosteste_UCS_AMV-13;2023-05;luminosidade;374.20;48.59;0.00
sirrosteste_UCS_AMV-13;2023-05;ruido;106.20;72.42;54.00
sirrosteste_UCS_AMV-13;2023-05;eco2;654.00;103.37;0.00
sirrosteste_UCS_AMV-13;2023-05;etvoc;2540.00;918.96;400.00
sirrosteste_UCS_AMV-13;2023-04;temperatura;34.90;24.25;23.30
sirrosteste_UCS_AMV-13;2023-04;umidade;100.00;58.03;44.40
sirrosteste_UCS_AMV-13;2023-04;luminosidade;385.00;8.84;0.00
sirrosteste_UCS_AMV-13;2023-04;ruido;110.20;71.23;51.60
sirrosteste_UCS_AMV-13;2023-04;eco2;291.00;25.17;0.00
sirrosteste_UCS_AMV-13;2023-04;etvoc;2621.00;594.16;400.00
