device;ano-mes;sensor;valor_maximo;valor_medio;valor_minimo
sirrosteste_UCS_AMV-20;2025-03;temperatura;25.60;18.40;16.90
sirrosteste_UCS_AMV-20;2025-03;umidade;85.70;81.41;59.50
sirrosteste_UCS_AMV-20;2025-03;luminosidade;1872.30;143.47;2.30
sirrosteste_UCS_AMV-20;2025-03;ruido;110.90;84.11;72.30
sirrosteste_UCS_AMV-20;2025-03;eco2;20.00;20.00;20.00
sirrosteste_UCS_AMV-20;2025-03;etvoc;403.00;403.00;403.00
sirrosteste_UCS_AMV-20;2024-12;temperatura;37.10;18.15;9.70
sirrosteste_UCS_AMV-20;2024-12;umidade;96.70;77.10;36.80
sirrosteste_UCS_AMV-20;2024-12;luminosidade;27306.20;1269.13;2.20
sirrosteste_UCS_AMV-20;2024-12;ruido;120.00;73.00;44.90
sirrosteste_UCS_AMV-20;2024-12;eco2;20.00;20.00;20.00
sirrosteste_UCS_AMV-20;2024-12;etvoc;403.00;403.00;403.00
sirrosteste_UCS_AMV-20;2024-11;temperatura;31.20;20.84;9.40
sirrosteste_UCS_AMV-20;2024-11;umidade;94.20;78.02;45.40
sirrosteste_UCS_AMV-20;2024-11;luminosidade;15918.90;1201.22;2.40
sirrosteste_UCS_AMV-20;2024-11;ruido;120.00;78.02;62.20
sirrosteste_UCS_AMV-20;2024-11;eco2;20.00;19.87;0.00
sirrosteste_UCS_AMV-20;2024-11;etvoc;403.00;402.98;400.00
sirrosteste_UCS_AMV-20;2024-10;temperatura;26.40;13.86;5.40
sirrosteste_UCS_AMV-20;2024-10;umidade;94.20;77.39;34.50
sirrosteste_UCS_AMV-20;2024-10;luminosidade;9139.70;708.28;2.50
sirrosteste_UCS_AMV-20;2024-10;ruido;120.00;71.85;42.10
sirrosteste_UCS_AMV-20;2024-10;eco2;0.00;0.00;0.00
sirrosteste_UCS_AMV-20;2024-10;etvoc;400.00;400.00;400.00
sirrosteste_UCS_AMV-20;2024-09;temperatura;37.50;16.67;1.80
sirrosteste_UCS_AMV-20;2024-09;umidade;95.90;74.12;25.40
sirrosteste_UCS_AMV-20;2024-09;luminosidade;7835.70;640.85;2.50
sirrosteste_UCS_AMV-20;2024-09;ruido;120.00;71.14;38.70
sirrosteste_UCS_AMV-20;2024-09;eco2;0.00;0.00;0.00
sirrosteste_UCS_AMV-20;2024-09;etvoc;400.00;400.00;400.00
sirrosteste_UCS_AMV-20;2024-08;temperatura;3278.30;13.79;0.00
sirrosteste_UCS_AMV-20;2024-08;umidade;95.20;71.78;27.10
sirrosteste_UCS_AMV-20;2024-08;luminosidade;5574.20;473.35;0.50
sirrosteste_UCS_AMV-20;2024-08;ruido;120.00;70.72;38.30
sirrosteste_UCS_AMV-20;2024-08;eco2;41.00;6.22;0.00
sirrosteste_UCS_AMV-20;2024-08;etvoc;676.00;401.28;400.00
sirrosteste_UCS_AMV-20;2024-07;temperatura;24.80;12.08;7.00
sirrosteste_UCS_AMV-20;2024-07;umidade;92.00;75.21;40.60
sirrosteste_UCS_AMV-20;2024-07;luminosidade;3596.40;424.58;2.80
sirrosteste_UCS_AMV-20;2024-07;ruido;120.00;74.56;51.70
sirrosteste_UCS_AMV-20;2024-07;eco2;19.00;0.04;0.00
sirrosteste_UCS_AMV-20;2024-07;etvoc;533.00;400.34;400.00
sirrosteste_UCS_AMV-20;2024-06;temperatura;28.30;18.21;13.10
sirrosteste_UCS_AMV-20;2024-06;umidade;72.50;64.18;52.50
sirrosteste_UCS_AMV-20;2024-06;luminosidade;42.40;1.88;0.00
sirrosteste_UCS_AMV-20;2024-06;ruido;99.20;57.75;44.30
sirrosteste_UCS_AMV-20;2024-06;eco2;437.00;46.61;0.00
sirrosteste_UCS_AMV-20;2024-06;etvoc;1788.00;684.33;400.00
sirrosteste_UCS_AMV-20;2024-05;temperatura;28.30;17.38;12.00
sirrosteste_UCS_AMV-20;2024-05;umidade;76.20;65.72;48.50
sirrosteste_UCS_AMV-20;2024-05;luminosidade;270.90;2.14;0.00
sirrosteste_UCS_AMV-20;2024-05;ruido;104.50;57.09;43.50
sirrosteste_UCS_AMV-20;2024-05;eco2;415.00;40.12;0.00
sirrosteste_UCS_AMV-20;2024-05;etvoc;1771.00;660.81;400.00
sirrosteste_UCS_AMV-20;2024-04;temperatura;28.30;22.40;19.20
sirrosteste_UCS_AMV-20;2024-04;umidade;73.60;64.93;53.00
sirrosteste_UCS_AMV-20;2024-04;luminosidade;275.30;1.73;0.00
sirrosteste_UCS_AMV-20;2024-04;ruido;120.00;58.16;43.00
sirrosteste_UCS_AMV-20;2024-04;eco2;554.00;40.65;0.00
sirrosteste_UCS_AMV-20;2024-04;etvoc;1875.00;667.12;400.00
sirrosteste_UCS_AMV-20;2023-10;temperatura;28.90;20.62;16.70
sirrosteste_UCS_AMV-20;2023-10;umidade;72.70;62.51;35.00
sirrosteste_UCS_AMV-20;2023-10;luminosidade;560.30;18.80;0.00
sirrosteste_UCS_AMV-20;2023-10;ruido;120.00;63.57;41.40
sirrosteste_UCS_AMV-20;2023-10;eco2;5050.00;87.63;0.00
sirrosteste_UCS_AMV-20;2023-10;etvoc;4020.00;813.99;400.00
