device;ano-mes;sensor;valor_maximo;valor_medio;valor_minimo
sirrosteste_UCS_AMV-08;2024-10;temperatura;35.30;17.12;7.50
sirrosteste_UCS_AMV-08;2024-10;umidade;97.90;79.69;34.80
sirrosteste_UCS_AMV-08;2024-10;luminosidade;27306.20;2314.70;0.00
sirrosteste_UCS_AMV-08;2024-10;ruido;120.00;78.88;49.80
sirrosteste_UCS_AMV-08;2024-10;eco2;71.00;0.34;0.00
sirrosteste_UCS_AMV-08;2024-10;etvoc;873.00;410.18;408.00
sirrosteste_UCS_AMV-08;2024-09;temperatura;34.00;18.97;6.00
sirrosteste_UCS_AMV-08;2024-09;umidade;97.90;72.12;29.30
sirrosteste_UCS_AMV-08;2024-09;luminosidade;27306.20;1824.60;0.00
sirrosteste_UCS_AMV-08;2024-09;ruido;120.00;78.29;47.30
sirrosteste_UCS_AMV-08;2024-09;eco2;0.00;0.00;0.00
sirrosteste_UCS_AMV-08;2024-09;etvoc;408.00;408.00;408.00
sirrosteste_UCS_AMV-08;2024-08;temperatura;35.50;15.42;0.70
sirrosteste_UCS_AMV-08;2024-08;umidade;96.60;70.11;29.40
sirrosteste_UCS_AMV-08;2024-08;luminosidade;13997.20;1082.90;0.00
sirrosteste_UCS_AMV-08;2024-08;ruido;112.30;78.44;49.10
sirrosteste_UCS_AMV-08;2024-08;eco2;184.00;8.36;0.00
sirrosteste_UCS_AMV-08;2024-08;etvoc;1518.00;411.00;403.00
sirrosteste_UCS_AMV-08;2024-07;temperatura;29.10;12.77;1.70
sirrosteste_UCS_AMV-08;2024-07;umidade;97.60;77.89;23.00
sirrosteste_UCS_AMV-08;2024-07;luminosidade;8494.50;704.70;0.00
sirrosteste_UCS_AMV-08;2024-07;ruido;106.00;76.97;49.40
sirrosteste_UCS_AMV-08;2024-07;eco2;980.00;13.15;0.00
sirrosteste_UCS_AMV-08;2024-07;etvoc;2128.00;419.67;400.00
sirrosteste_UCS_AMV-08;2024-06;temperatura;3278.00;16.64;0.00
sirrosteste_UCS_AMV-08;2024-06;umidade;95.70;71.20;28.50
sirrosteste_UCS_AMV-08;2024-06;luminosidade;8131.80;746.07;0.00
sirrosteste_UCS_AMV-08;2024-06;ruido;110.30;78.02;48.20
sirrosteste_UCS_AMV-08;2024-06;eco2;371.00;19.54;0.00
sirrosteste_UCS_AMV-08;2024-06;etvoc;1735.00;405.57;400.00
sirrosteste_UCS_AMV-08;2024-05;temperatura;33.90;14.93;3.60
sirrosteste_UCS_AMV-08;2024-05;umidade;98.00;84.78;39.40
sirrosteste_UCS_AMV-08;2024-05;luminosidade;11770.70;559.88;0.00
sirrosteste_UCS_AMV-08;2024-05;ruido;120.00;78.50;49.40
sirrosteste_UCS_AMV-08;2024-05;eco2;1186.00;24.59;0.00
sirrosteste_UCS_AMV-08;2024-05;etvoc;2220.00;434.36;400.00
sirrosteste_UCS_AMV-08;2024-04;temperatura;31.80;20.27;13.50
sirrosteste_UCS_AMV-08;2024-04;umidade;97.20;73.22;44.00
sirrosteste_UCS_AMV-08;2024-04;luminosidade;11006.00;616.63;0.00
sirrosteste_UCS_AMV-08;2024-04;ruido;111.90;68.57;41.70
sirrosteste_UCS_AMV-08;2024-04;eco2;830.00;23.39;0.00
sirrosteste_UCS_AMV-08;2024-04;etvoc;2051.00;532.30;400.00
sirrosteste_UCS_AMV-08;2024-01;temperatura;27.50;25.21;23.60
sirrosteste_UCS_AMV-08;2024-01;umidade;66.80;63.32;63.30
sirrosteste_UCS_AMV-08;2024-01;luminosidade;246.20;129.74;0.00
sirrosteste_UCS_AMV-08;2024-01;ruido;106.10;77.48;58.00
sirrosteste_UCS_AMV-08;2024-01;eco2;627.00;76.95;0.00
sirrosteste_UCS_AMV-08;2024-01;etvoc;1926.00;812.01;400.00
sirrosteste_UCS_AMV-08;2023-05;temperatura;24.50;23.15;21.70
sirrosteste_UCS_AMV-08;2023-05;umidade;66.80;57.34;51.10
sirrosteste_UCS_AMV-08;2023-05;luminosidade;383.30;75.24;0.00
sirrosteste_UCS_AMV-08;2023-05;ruido;108.40;72.88;52.80
sirrosteste_UCS_AMV-08;2023-05;eco2;223.00;31.31;0.00
sirrosteste_UCS_AMV-08;2023-05;etvoc;1572.00;683.78;400.00
sirrosteste_UCS_AMV-08;2023-04;temperatura;27.80;24.25;20.00
sirrosteste_UCS_AMV-08;2023-04;umidade;67.60;56.03;42.40
sirrosteste_UCS_AMV-08;2023-04;luminosidade;212.50;5.13;0.00
sirrosteste_UCS_AMV-08;2023-04;ruido;120.00;70.60;47.50
sirrosteste_UCS_AMV-08;2023-04;eco2;463.00;20.28;0.00
sirrosteste_UCS_AMV-08;2023-04;etvoc;2479.00;545.43;400.00
sirrosteste_UCS_AMV-08;2022-12;temperatura;33.80;22.44;16.20
sirrosteste_UCS_AMV-08;2022-12;umidade;74.00;56.12;34.80
sirrosteste_UCS_AMV-08;2022-12;luminosidade;1087.50;70.81;0.00
sirrosteste_UCS_AMV-08;2022-12;ruido;102.90;77.70;59.90
sirrosteste_UCS_AMV-08;2022-12;eco2;400.00;1.47;0.00
sirrosteste_UCS_AMV-08;2022-12;etvoc;400.00;5.58;0.00
